codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
7259476,FARMAIS,PENIDO MONTEIRO PRODUTOS FARMACEUTICOS LTDA EPP,43,CENTRO,AVENIDA VIGILATO BRAGA,35712400,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",MUNICIPAL,NAO,0.0,-20.14388944424809,-44.20153856277466,FARMACIA,Brumadinho
7266723,LUSTOSA,DIAGNOSTICOS DA AMERICA S A,39,CENTRO,PRACA PAULO ALVES MOREIRA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1422587,-44.2029991,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Brumadinho
7296797,CENTRO MEDICO DE BRUMADINHO LTDA,CENTRO MEDICO DE BRUMADINHO LTDA,22,CENTRO,RUA BARAO DO RIO BRANCO,31-35712969,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1433661,-44.2029222,CONSULTORIO ISOLADO,Brumadinho
7486146,ENDOVITA,VINHAL SERVICOS MEDICOS EIRELI ME,36,CENTRO,RUA PRESIDENTE VARGAS,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.142136808807045,-44.20104503631592,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
7551770,MEDCORP SERVICOS MEDICOS LTDA,MEDCORP SERVICOS MEDICOS LTDA,36,JOTA,RUA RIO PARAOPEBA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,,,CLINICA/CENTRO DE ESPECIALIDADE,sem coordenada
7566050,SECRETARIA MUNICIPAL DE SAUDE DE BRUMADINHO,PREFEITURA MUNICIPAL DE BRUMADINHO,68,JOTA,AVENIDA NOSSA SENHORA DO BELO RAMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,,,,CENTRAL DE GESTAO EM SAUDE,sem coordenada
7750935,CLINICA DE IMAGEM OCTAVIANO NEVES LTDA ME,CLINICA DE IMAGEM OCTAVIANO NEVES LTDA ME,22,CENTRO,RUA JOAO FERNANDES DO CARMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14376857346969,-44.19980049133301,CONSULTORIO ISOLADO,Brumadinho
7791933,FISIO BELA FISIOTERAPIA,FISIO BELA FISIOTERAPIA CLINICA MEDICA LTDA ME,36,CENTRO,RUA JOAO FERNANDES DO CARMO,31-35712046,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.143967,-44.200096,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
7797281,ODONTOLIFE LABORATORIO DE PROTESE,CLAUDIA MONICA PEREIRA DA COSTA ME,39,PROGRESSO II,RUA HENRY KARAN,31-997185600,ATENDIMENTO COM TURNOS INTERMITENTES,MUNICIPAL,SIM,0.0,-20.141532447198884,-44.216365814208984,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Conceição de Itaguá
7806191,CONSULTORIO MEDICO EM ANGIOLOGIA CLAUDIA MARIA PEIXOTO MELO,AUDIMED SC LTDA,22,CENTRO,RUA BARAO DO RIO BRANCO,31341505,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.142982911130296,-44.199585914611816,CONSULTORIO ISOLADO,Brumadinho
7806329,CONSULTORIO MEDICO EM ORTOPEDIA RAFAEL ALVES RODRIGUES,RAFAEL ALVES RODRIGUES,22,CENTRO,RUA BARAO DO RIO BRANCO,35711505,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.142836858080344,-44.20002043247223,CONSULTORIO ISOLADO,Brumadinho
7821646,CONSULTORIO DE PSICOLOGIA IZABELLA CHAVES,IZABELLA MARIA DE CARVALHO CHAVES,22,CENTRO,AVENIDA PRESIDENTE VARGAS,96022820,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.143567121964516,-44.201109409332275,CONSULTORIO ISOLADO,Brumadinho
