Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,Homem - PPI,24512,20,245,24,C
310900,Município,2024,Número de Empregos,Homem - PPI,25128,11,251,25,C
310900,Município,2024,Número de Empregos,Homem - PPI,25420,2,254,25,C
310900,Município,2024,Número de Empregos,Homem - PPI,28402,1,284,28,C
310900,Município,2024,Número de Empregos,Homem - PPI,28691,1,286,28,C
310900,Município,2024,Número de Empregos,Homem - PPI,31012,7,310,31,C
310900,Município,2024,Número de Empregos,Homem - PPI,33147,1,331,33,C
310900,Município,2024,Número de Empregos,Homem - PPI,38114,6,381,38,E
310900,Município,2024,Número de Empregos,Homem - PPI,41107,3,411,41,F
310900,Município,2024,Número de Empregos,Homem - PPI,41204,164,412,41,F
310900,Município,2024,Número de Empregos,Homem - PPI,42111,638,421,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42120,106,421,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42219,1,422,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42227,7,422,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42910,3,429,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42928,1,429,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,42995,44,429,42,F
310900,Município,2024,Número de Empregos,Homem - PPI,43134,4,431,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,43215,3,432,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,43223,3,432,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,43291,17,432,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,43304,28,433,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,43991,99,439,43,F
310900,Município,2024,Número de Empregos,Homem - PPI,45200,8,452,45,G
310900,Município,2024,Número de Empregos,Homem - PPI,45307,17,453,45,G
310900,Município,2024,Número de Empregos,Homem - PPI,45412,2,454,45,G
310900,Município,2024,Número de Empregos,Homem - PPI,46354,1,463,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46371,1,463,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46397,1,463,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46451,1,464,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46494,1,464,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46729,1,467,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46893,16,468,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,46915,41,469,46,G
310900,Município,2024,Número de Empregos,Homem - PPI,47113,140,471,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47121,8,471,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47130,7,471,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47211,5,472,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47229,13,472,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47237,3,472,47,G
310900,Município,2024,Número de Empregos,Homem - PPI,47245,3,472,47,G
