Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,Homem - BrAm,86402,2851.403333333333,864,86,Q,979.2993243300707
310900,Município,2024,Média do Salário Real,Homem - BrAm,87204,1755.91,872,87,Q,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,91023,4279.8932098765445,910,91,R,4314.626218729969
310900,Município,2024,Média do Salário Real,Homem - BrAm,93131,1649.7,931,93,R,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,94308,2912.081818181817,943,94,S,1437.9578354260614
310900,Município,2024,Média do Salário Real,Homem - BrAm,94910,2824,949,94,S,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,94995,3683.129999999999,949,94,S,1323.967365881803
310900,Município,2024,Média do Salário Real,Homem - PPI,01113,2118,011,01,A,NA
310900,Município,2024,Média do Salário Real,Homem - PPI,01199,2448.167,011,01,A,368.27749350636856
310900,Município,2024,Média do Salário Real,Homem - PPI,01211,2602.52,012,01,A,902.9335331573415
310900,Município,2024,Média do Salário Real,Homem - PPI,01318,1343.6750000000002,013,01,A,32.20871388304721
310900,Município,2024,Média do Salário Real,Homem - PPI,01393,2196.645,013,01,A,467.87134390770296
310900,Município,2024,Média do Salário Real,Homem - PPI,01512,1822.9032258064517,015,01,A,534.1650289213818
310900,Município,2024,Média do Salário Real,Homem - PPI,01521,2387.756,015,01,A,967.1528386075629
310900,Município,2024,Média do Salário Real,Homem - PPI,01547,2059.2914285714287,015,01,A,698.8891984797364
310900,Município,2024,Média do Salário Real,Homem - PPI,01598,1711.52,015,01,A,NA
310900,Município,2024,Média do Salário Real,Homem - PPI,01610,2017.7040000000002,016,01,A,579.8140315691268
310900,Município,2024,Média do Salário Real,Homem - PPI,01628,1692.506666666667,016,01,A,348.4371893899961
310900,Município,2024,Média do Salário Real,Homem - PPI,02306,2310.2179310344827,023,02,A,849.8836388226471
310900,Município,2024,Média do Salário Real,Homem - PPI,07103,6112.757368421046,071,07,B,5043.695289833823
310900,Município,2024,Média do Salário Real,Homem - PPI,08100,3165.7126315789474,081,08,B,689.1917295873326
310900,Município,2024,Média do Salário Real,Homem - PPI,09904,4906.3949999999995,099,09,B,1882.8236672511612
310900,Município,2024,Média do Salário Real,Homem - PPI,10121,1851.932121212121,101,10,C,779.3083604539892
310900,Município,2024,Média do Salário Real,Homem - PPI,10139,2501.04,101,10,C,NA
310900,Município,2024,Média do Salário Real,Homem - PPI,10520,1681.91,105,10,C,NA
310900,Município,2024,Média do Salário Real,Homem - PPI,10538,1760,105,10,C,0
310900,Município,2024,Média do Salário Real,Homem - PPI,10911,1827.1745454545453,109,10,C,437.0374719715378
310900,Município,2024,Média do Salário Real,Homem - PPI,10945,1820.1299999999999,109,10,C,143.39568229204116
310900,Município,2024,Média do Salário Real,Homem - PPI,11216,2588.2243137254904,112,11,C,2084.932085727739
310900,Município,2024,Média do Salário Real,Homem - PPI,14126,1515,141,14,C,NA
310900,Município,2024,Média do Salário Real,Homem - PPI,14134,1994.0985714285714,141,14,C,727.8136770590985
310900,Município,2024,Média do Salário Real,Homem - PPI,18300,1412,183,18,C,NA
